ligand,predicted_affinity,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000006678212.mol2,6.589871049,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000023805396.mol2,6.58495307,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004454906.mol2,6.579911709,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000013042472.mol2,6.573269963,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000071850197.mol2,6.570799947,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000071850196.mol2,6.570799947,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000002958767.mol2,6.570351124,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000003457872.mol2,6.542876363,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000001143057.mol2,6.533982158,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000001098827.mol2,6.52816534,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000017847791.mol2,6.523914933,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000013654996.mol2,6.503026485,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000096098257.mol2,6.49844408,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408619625.mol2,6.495807171,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028648053.mol2,6.482926607,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000072354602.mol2,6.481598616,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000072354603.mol2,6.481598616,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000053895125.mol2,6.478403211,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000053895126.mol2,6.478403211,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000003457874.mol2,6.469030976,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408926338.mol2,6.46658957,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408627012.mol2,6.455146074,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004454904.mol2,6.43461585,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000021185450.mol2,6.41521275,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000013654998.mol2,6.409638524,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408784474.mol2,6.406456828,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012897452.mol2,6.397735476,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000010912058.mol2,6.388762593,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000024864864.mol2,6.382193565,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028208302.mol2,6.38171792,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028207359.mol2,6.363700032,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000001028337.mol2,6.362966895,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000096120094.mol2,6.32586658,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000026753615.mol2,6.313307881,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000047267020.mol2,6.313171387,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000019930350.mol2,6.305208802,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000019930352.mol2,6.305208802,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000024686440.mol2,6.29632473,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000065364964.mol2,6.275889874,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000021886691.mol2,6.274763942,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000001119324.mol2,6.273819804,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000080819421.mol2,6.272674799,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000009314805.mol2,6.268962026,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000097166177.mol2,6.268518567,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000002455246.mol2,6.255789399,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012609436.mol2,6.237254739,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000077523565.mol2,6.237213016,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000009058058.mol2,6.228145361,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000015386090.mol2,6.22246027,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000015386087.mol2,6.22246027,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004218212.mol2,6.2166816,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000001166468.mol2,6.215650439,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000036885571.mol2,6.203141212,
