ZINC_ID,SMILES,Highest_Similarity,Similar_To_Query
"ZINC000088059570","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])[N+]([H])([H])[C@]([H])(C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2222,"Tipranavir"
"ZINC000062132516","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])[C@]([H])(C(=O)O)C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2152,"Tipranavir"
"ZINC000062132517","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])[C@@]([H])(C(=O)O)C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2152,"Tipranavir"
"ZINC000000166219","[H]c1c([H])c(C(F)(F)F)c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C(=O)O)c1[H]",0.2073,"Tipranavir"
"ZINC000000166218","[H]c1c([H])c(C(F)(F)F)c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C(=O)O)c1[H]",0.2073,"Tipranavir"
"ZINC000016652580","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])[H]",0.2022,"Darunavir"
"ZINC000004653831","[H]N1C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(=O)[C@]1(N([H])C(=O)C1([H])C([H])([H])C1([H])[H])C(F)(F)F",0.2045,"Saquinavir"
"ZINC000041129621","[H]c1c([H])c(C([H])([H])C(=O)N2C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2024,"Tipranavir"
"ZINC000041129619","[H]c1c([H])c(C([H])([H])C(=O)N2C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2024,"Tipranavir"
"ZINC000053895125","[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1OC([H])([H])C(=O)N1C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])[H])C1([H])[H]",0.2118,"Tipranavir"
"ZINC000053895126","[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1OC([H])([H])C(=O)N1C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])[H])C1([H])[H]",0.2118,"Tipranavir"
"ZINC000095990980","[H]c1nc(S(=O)(=O)N2C([H])([H])[C@]([H])(C([H])([H])[H])O[C@]([H])(C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2073,"Tipranavir"
"ZINC000088059571","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])N([H])[C@@]([H])(C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2222,"Tipranavir"
"ZINC000088059570","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2222,"Tipranavir"
"ZINC000065364964","[H]c1c([H])c(N([C@]([H])(C(=O)N([H])[H])C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c([H])c(C(F)(F)F)c1[H]",0.2048,"Tipranavir"
"ZINC000065364965","[H]c1c([H])c(N([C@@]([H])(C(=O)N([H])[H])C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c([H])c(C(F)(F)F)c1[H]",0.2048,"Tipranavir"
"ZINC000004622638","[H]N1C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(=O)[C@@]1(N([H])C(=O)C1([H])C([H])([H])C1([H])[H])C(F)(F)F",0.2045,"Saquinavir"
"ZINC000009365371","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C(=O)N([H])[H])c([H])c([H])c1C(F)(F)F",0.2375,"Tipranavir"
"ZINC000009365369","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C(=O)N([H])[H])c([H])c([H])c1C(F)(F)F",0.2375,"Tipranavir"
"ZINC000070640072","[H]O[C@@]([H])(c1c([H])c([H])c(C(F)(F)F)c([H])c1[H])C([H])([H])N([H])S(=O)(=O)C1([H])C([H])([H])C1([H])[H]",0.2073,"Tipranavir"
"ZINC000070640074","[H]O[C@]([H])(c1c([H])c([H])c(C(F)(F)F)c([H])c1[H])C([H])([H])N([H])S(=O)(=O)C1([H])C([H])([H])C1([H])[H]",0.2073,"Tipranavir"
"ZINC000156102730","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])[N+]([H])([H])[H])c([H])c([H])c1C(F)(F)F",0.2073,"Tipranavir"
"ZINC000156102598","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[N+]([H])([H])[H])c([H])c([H])c1C(F)(F)F",0.2073,"Tipranavir"
"ZINC000123580116","[H]c1c([H])c(C(F)(F)F)c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])[C@@]([H])([N+]([H])([H])[H])C2([H])[H])c1C([H])([H])[H]",0.2000,"Tipranavir"
"ZINC000071144684","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[N+]([H])([H])C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2000,"Tipranavir"
"ZINC000071144686","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[N+]([H])([H])C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2000,"Tipranavir"
"ZINC000028208292","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])C(=O)N([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]",0.2043,"Darunavir"
"ZINC000028207179","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1OC([H])([H])C(=O)N([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]",0.2021,"Darunavir"
"ZINC000028207182","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1OC([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]",0.2021,"Darunavir"
"ZINC000028208295","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]",0.2043,"Darunavir"
"ZINC000022227507","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])N([H])C(=O)C1([H])C([H])([H])C1([H])[H]",0.2043,"Darunavir"
"ZINC000004255672","[H]c1c([N+](=O)[O-])c(S(O)(O)O)c([N+](=O)[O-])c([H])c1C(F)(F)F",0.2000,"Tipranavir"
"ZINC000080819428","[H]c1nc([H])c(C(=O)N(C([H])([H])[H])C([H])([H])c2nc([C@]([H])(OC([H])([H])C([H])([H])[H])C([H])([H])[H])sc2[H])nc1[H]",0.2000,"Ritonavir"
"ZINC000080819421","[H]c1nc([H])c(C(=O)N(C([H])([H])[H])C([H])([H])c2nc([C@@]([H])(OC([H])([H])C([H])([H])[H])C([H])([H])[H])sc2[H])nc1[H]",0.2000,"Ritonavir"
"ZINC000267822486","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2099,"Tipranavir"
"ZINC000074841476","[H]c1nc(C([H])([H])C([H])([H])N([H])C(=O)N(C([H])([H])[H])C([H])([H])c2c([H])c([H])nc([H])c2[H])sc1C([H])([H])C([H])([H])[H]",0.2037,"Ritonavir"
"ZINC000161799806","[H]O[C@@]1(C([H])([H])[H])C([H])([H])N(S(=O)(=O)c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])C([H])([H])C([H])([H])C1([H])[H]",0.2048,"Tipranavir"
"ZINC000161799664","[H]O[C@]1(C([H])([H])[H])C([H])([H])N(S(=O)(=O)c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])C([H])([H])C([H])([H])C1([H])[H]",0.2048,"Tipranavir"
"ZINC000362127835","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])[C@@]([H])(OC([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2099,"Tipranavir"
"ZINC000170656910","[H]c1c([H])c(C(F)(F)F)c([H])c(C(=O)N2C([H])([H])C([H])([H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])c1N([H])[H]",0.2024,"Tipranavir"
"ZINC000053202972","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]([H])([N+]([H])([H])C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2024,"Tipranavir"
"ZINC000053202973","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@]([H])([N+]([H])([H])C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2024,"Tipranavir"
"ZINC000237809524","[H]c1c([H])c(C(F)(F)F)c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[N+]([H])([H])[H])c1C([H])([H])[H]",0.2045,"Tipranavir"
"ZINC000237809622","[H]c1c([H])c(C(F)(F)F)c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])[N+]([H])([H])[H])c1C([H])([H])[H]",0.2045,"Tipranavir"
"ZINC000075166549","[H]c1c([H])c(S(=O)(=O)N2[C@@]3([H])C([H])([H])OC([H])([H])[C@]2([H])C([H])([H])C3([H])[H])c([H])c([H])c1C(F)(F)F",0.2105,"Tipranavir"
"ZINC000058025868","[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1N([H])C(=O)[C@@]([H])(C([H])([H])[H])S(=O)(=O)C([H])(C([H])([H])[H])C([H])([H])[H]",0.2051,"Tipranavir"
"ZINC000044451797","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])(OC([H])([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2152,"Tipranavir"
